,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
10,U001,0200803720,DEC corp,2020-04-05 09:08:47.890625000,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,138.6,0-15 Days
11,U001,0200794332,COST co,2020-03-28 05:00:09.097656250,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,32715.47,0-15 Days
12,U001,0200020431,DEC us,2020-05-20 18:57:15.531250000,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,174.72,0-15 Days
13,U001,0200769623,WAL-MAR associates,2020-03-28 08:00:52.898437500,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,0-15 Days
14,CA02,140105785,SHOPPE foundation,2020-04-13 18:57:19.625000000,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2207.088,0-15 Days
15,U001,0200769623,WAL-MAR ,2020-03-12 22:13:12.007812500,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,14514.68,0-15 Days
16,U001,0200769623,WAL-MAR foundation,2020-04-26 08:00:52.898437500,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,55400.31,0-15 Days
17,U001,0200772670,ASSOCIAT corporation,2020-04-25 15:36:46.484375000,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,174766.36,0-15 Days
18,U001,0200900909,SYSCO systems,2020-04-18 21:29:36.281250000,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,31512.75,0-15 Days
19,U001,0200769623,WAL-MAR systems,2020-04-15 08:00:52.898437500,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,19701.55,0-15 Days
20,U001,0200726979,BJ'S  trust,2020-05-02 10:00:36.976562500,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,132.72,0-15 Days
21,U001,0200769623,WAL-MAR llc,2020-04-14 08:00:52.898437500,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,1121.15,0-15 Days
22,U001,0200769623,WAL-MAR llc,2020-04-22 08:00:52.898437500,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,11394.84,0-15 Days
23,CA02,0140105847,GORDON F co,2020-04-21 00:00:08.390625000,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,2874.456,0-15 Days
24,U001,0200744019,TARG foundation,2020-04-03 13:35:57.781250000,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,52123.3,0-15 Days
25,U001,0200769623,WAL-MAR systems,2020-03-26 08:00:52.898437500,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,14994.01,0-15 Days
26,U001,0200769623,WAL-MAR llc,2020-03-22 08:00:52.898437500,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,36.06,0-15 Days
27,U001,0200418007,AM in,2020-04-24 10:10:43.500000000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,25836.19,0-15 Days
28,U001,0200739006,AL foundation,2020-05-03 19:37:00.281250000,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,4309.05,0-15 Days
29,U001,0100031704,DELHAIZE associates,2020-04-30 01:08:35.394042969,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,70181.07,0-15 Days
30,U001,0200769623,WAL-MAR trust,2020-04-13 08:00:52.898437500,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,3403.8,0-15 Days
31,U001,0200744019,TARG systems,2020-05-17 14:29:48.031250000,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,10665.53,0-15 Days
32,U001,0200769623,WAL-MAR ,2020-04-06 08:00:52.898437500,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,7280.51,0-15 Days
33,U001,0200726979,BJ'S  corporation,2020-03-18 10:00:36.976562500,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,13681.7,0-15 Days
34,U001,0200706844,WINC associates,2020-04-25 06:29:17.875000000,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,33947.85,0-15 Days
35,U001,0200793830,M llc,2020-04-24 12:38:41.625000000,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,4537.14,0-15 Days
36,U001,0200769623,WAL-MAR foundation,2020-04-22 08:00:52.898437500,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,14355.96,0-15 Days
37,U001,0200769623,WAL-MAR systems,2020-04-19 08:00:52.898437500,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,367.71,0-15 Days
38,U001,0200769623,WAL-MAR trust,2020-05-22 08:00:52.898437500,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,56284.77,0-15 Days
39,U001,0200769623,WAL-MAR systems,2020-03-16 08:00:52.898437500,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,50493.86,0-15 Days
40,U001,0200769623,WAL-MAR llc,2020-05-07 08:00:52.898437500,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,15489.43,0-15 Days
41,CA02,0140104423,METRO  llc,2020-03-14 04:27:15.718750000,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,103828.42079999999,0-15 Days
42,U001,0200726979,BJ'S  systems,2020-05-05 10:00:36.976562500,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,360.33,0-15 Days
43,U001,0200743996,STATER  llc,2020-05-20 18:09:58.488281250,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,3826.03,0-15 Days
44,U001,0200752302,KROGER trust,2020-04-18 05:24:55.117187500,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,96674.05,0-15 Days
45,CA02,140105686,SYSC llc,2020-05-22 08:39:40.187500000,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,48170.9046,0-15 Days
46,U001,0200711029,WEGMAN corp,2020-04-21 12:33:29.343750000,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,14382.22,0-15 Days
47,CA02,CCU001,KRAFT  corporation,2020-05-05 16:55:01.250000000,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,19865.5626,0-15 Days
48,U001,0200769623,WAL-MAR llc,2020-05-07 08:00:52.898437500,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,35509.95,0-15 Days
49,U001,0200769623,WAL-MAR associates,2020-04-21 08:00:52.898437500,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,13512.61,0-15 Days
50,U001,0200772670,ASSOCIAT corp,2020-04-09 15:36:46.484375000,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,24421.33,0-15 Days
51,U001,0200769623,WAL-MAR co,2020-05-05 08:00:52.898437500,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,11217.33,0-15 Days
52,U001,0200769623,WAL-MAR systems,2020-04-29 08:00:52.898437500,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,12554.13,0-15 Days
53,U001,0200720238,WOODM co,2020-05-25 12:57:00.656250000,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,126919.03,0-15 Days
54,CA02,140106408,WAL-M in,2020-05-15 17:56:15.187500000,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,31799.133600000005,0-15 Days
55,U001,0200769623,WAL-MAR co,2020-04-17 07:17:35.789062500,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,24834.9,0-15 Days
56,U001,0200769623,WAL-MAR us,2020-03-31 08:00:52.898437500,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,50202.83,0-15 Days
57,U001,0200769623,WAL-MAR us,2020-04-17 07:17:35.789062500,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,8299.7,0-15 Days
58,U001,0200799367,MCL corporation,2020-04-09 12:38:41.625000000,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,51602.13,0-15 Days
59,U001,0200759878,SA co,2020-04-29 03:14:02.314453125,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,18900.99,0-15 Days
60,U001,0200794332,COST corp,2020-03-29 05:00:09.097656250,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,49467.7,0-15 Days
61,U001,0200515231,US  us,2020-04-28 08:05:50.562500000,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,10187.66,0-15 Days
62,U001,0200782669,SYGMA corp,2020-03-29 20:32:29.812500000,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,237.4,0-15 Days
63,U001,200769623,WAL-MAR foundation,2020-05-28 08:00:52.898437500,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,11532.84,0-15 Days
64,U001,0200769623,WAL-MAR ,2020-04-09 08:00:52.898437500,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,20017.92,0-15 Days
65,U001,0200331749,SYSC foundation,2020-03-15 06:55:00.812500000,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5320.85,0-15 Days
66,U001,0200772670,ASSOCIAT associates,2020-05-09 15:36:46.484375000,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,30900.83,0-15 Days
67,U001,0200772670,ASSOCIAT us,2020-04-18 09:42:10.796875000,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,65843.26,0-15 Days
68,U001,0200706844,WINC foundation,2020-03-22 06:29:17.875000000,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,359.44,0-15 Days
69,U001,0100043975,JAVA ,2020-04-19 15:37:39.109375000,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,1427.36,0-15 Days
70,U001,0200762301,C&S WH in,2020-03-19 02:29:18.732421875,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,99091.71,0-15 Days
71,U001,0200148860,DOLLA associates,2020-06-05 06:24:25.578125000,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,6543.44,0-15 Days
72,CA02,0100027744,OMEGA AD in,2020-05-30 22:37:01.062500000,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,5487.3,0-15 Days
73,U001,0100031704,DELHAIZE co,2020-03-15 23:49:28.033996582,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,106394.18,0-15 Days
74,U001,0200799420,HT HA foundation,2020-04-13 14:35:05.375000000,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,801.1,0-15 Days
75,U001,0200974851,RESTA systems,2020-04-11 05:29:37.210937500,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,3566.69,0-15 Days
76,U001,0200769623,WAL-MAR in,2020-05-14 08:00:52.898437500,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8885.57,0-15 Days
77,U001,0200793568,SUPE llc,2020-03-26 20:32:29.812500000,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,15893.27,0-15 Days
78,U001,0200759878,SA foundation,2020-03-21 03:14:02.314453125,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,70180.8,0-15 Days
79,U001,0200712187,SPAR in,2020-05-06 17:16:08.250000000,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,119384.36,0-15 Days
80,U001,0100047532,KEYSTON associates,2020-03-27 06:50:17.875000000,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,11852.54,0-15 Days
81,U001,0200794332,COST co,2020-03-18 20:33:27.249023438,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,11225.42,0-15 Days
82,U001,0200148860,DOLLA associates,2020-05-27 06:24:25.578125000,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,5456.75,0-15 Days
83,U001,200794332,COST llc,2020-05-23 05:00:09.097656250,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,81500.86,0-15 Days
84,U001,0200555117,BURR trust,2020-04-11 22:46:16.578125000,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,749.14,0-15 Days
85,U001,200769623,WAL-MAR in,2020-05-25 08:00:52.898437500,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,2219.89,0-15 Days
86,U001,0200772670,ASSOCIAT corp,2020-04-06 15:36:46.484375000,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,15489.78,0-15 Days
87,U001,200707822,PUBLI corporation,2020-05-20 03:08:00.984375000,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,126107.91,0-15 Days
88,CA02,0140104392,FLANAG us,2020-04-01 17:01:15.750000000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,2817.6642,0-15 Days
89,U001,0200769623,WAL-MAR corp,2020-05-14 08:00:52.898437500,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,11545.38,0-15 Days
90,U001,0200759878,SA systems,2020-04-15 03:14:02.314453125,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,47646.57,0-15 Days
91,U001,0200705742,DOT foundation,2020-03-10 20:09:34.437500000,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5932.51,0-15 Days
92,U001,200793568,SUPE trust,2020-04-08 20:32:29.812500000,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1635.76,0-15 Days
93,U001,0200726979,BJ'S  ,2020-03-28 10:00:36.976562500,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,1286.3,0-15 Days
94,U001,0200704858,WAKE corp,2020-04-26 21:15:31.812500000,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,99568.42,0-15 Days
95,U001,0200780383,MEIJ in,2020-04-03 12:38:41.625000000,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,3612.63,0-15 Days
96,U001,0200762301,C&S WH associates,2020-04-27 02:29:18.732421875,2020.0,1930778021.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAC6,102276.04,0-15 Days
97,CA02,0140106271,LONGO  in,2020-04-20 02:35:24.625000000,2020.0,2960626604.0,2020-04-03 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-07 00:00:00.000000000,CA10,9600.076200000001,0-15 Days
98,CA02,0140104423,METRO  us,2020-05-04 05:10:32.812500000,2020.0,2960628851.0,2020-04-17 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-21 00:00:00.000000000,CA10,50209.2084,0-15 Days
99,U001,0200741174,M B  co,2020-04-01 09:22:20.093750000,2020.0,1930657267.0,2020-03-16 00:00:00.000000000,2020-03-31 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAA8,5767.83,0-15 Days
100,CA02,0100030194,AMAZO llc,2020-04-03 01:35:23.843750000,2020.0,2960622411.0,2020-03-18 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-20 00:00:00.000000000,CA10,10977.5718,0-15 Days
101,U001,0200769623,WAL-MAR trust,2020-04-15 08:00:52.898437500,2020.0,1930720012.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,42379.83,0-15 Days
102,U001,0200592182,DECA in,2020-05-05 20:16:22.875000000,2020.0,1930822583.0,2020-04-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,1761.84,0-15 Days
103,U001,0200743996,STATER  co,2020-04-07 17:16:08.250000000,2020.0,1930686889.0,2020-03-22 00:00:00.000000000,2020-04-06 00:00:00.000000000,2020-03-22 00:00:00.000000000,NAA8,94612.03,0-15 Days
104,U001,0200769623,WAL-MAR in,2020-05-01 08:00:52.898437500,2020.0,1930787980.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAH4,22226.35,0-15 Days
105,U001,0200749782,KROG associates,2020-05-11 05:24:55.117187500,2020.0,1930822131.0,2020-04-25 00:00:00.000000000,2020-05-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,NAA8,88502.01,0-15 Days
106,U001,0200744019,TARG corp,2020-05-20 14:29:48.031250000,2020.0,1930641073.0,2020-03-13 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAGD,1982.06,0-15 Days
107,U001,0200769623,WAL-MAR foundation,2020-05-07 08:00:52.898437500,2020.0,1930804577.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,2326.08,0-15 Days
108,U001,0200705742,DOT us,2020-03-14 02:24:17.062500000,2020.0,1930592413.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,9822.38,0-15 Days
109,U001,0200744019,TARG trust,2020-05-24 13:35:57.781250000,2020.0,1930857489.0,2020-05-05 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,NAA8,29592.42,0-15 Days
110,U001,0200772670,ASSOCIAT associates,2020-04-19 15:36:46.484375000,2020.0,1930739252.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAU5,47903.76,0-15 Days
111,U001,0200769623,WAL-MAR corporation,2020-04-09 08:00:52.898437500,2020.0,1930692953.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,1898.9,0-15 Days
112,U001,0200900909,SYSCO in,2020-04-22 21:29:36.281250000,2020.0,1930741081.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,7524.17,0-15 Days
113,U001,0200424504,M  in,2020-05-07 17:38:48.750000000,2020.0,1930830032.0,2020-04-28 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-04-15 00:00:00.000000000,NACG,2428.04,16-30 Days
114,U001,0100031704,DELHAIZE trust,2020-06-19 08:23:41.484375000,2020.0,1930794735.0,2020-04-16 00:00:00.000000000,2020-06-20 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAGD,1176.59,0-15 Days
115,U001,0200764795,SYSCO  us,2020-04-20 19:27:33.125000000,2020.0,1930637455.0,2020-03-18 00:00:00.000000000,2020-04-19 00:00:00.000000000,2020-03-18 00:00:00.000000000,NA32,10978.51,0-15 Days
116,U001,0200337148,COAS systems,2020-03-16 17:03:01.902343750,2020.0,1930587342.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,45127.79,0-15 Days
117,U001,0200416837,DEC llc,2020-03-20 18:57:15.531250000,2020.0,1930599382.0,2020-03-04 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAM4,398.16,0-15 Days
118,U001,0200769623,WAL-MAR llc,2020-03-25 08:00:52.898437500,2020.0,1930623646.0,2020-03-09 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAH4,58726.21,0-15 Days
119,U001,0200726979,BJ'S  associates,2020-03-28 10:00:36.976562500,2020.0,1930645815.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,588.49,0-15 Days
